#{"t_start": 1773677719.898279, "env_id": "None"}
r,l,t
-0.526018,7,396.778142
-0.621147,7,396.784781
-0.601425,7,396.789133
-0.520914,7,396.793533
-0.601561,7,396.797847
-0.459881,7,396.802309
-0.583832,7,396.806654
-0.494274,7,396.810955
-0.700658,7,396.81535
-0.646376,7,396.820105
-0.573163,7,396.825226
-0.705672,7,396.830314
-0.487519,7,396.838022
-0.643933,7,396.842376
-0.597743,7,396.846653
-0.561882,7,396.854044
-0.546668,7,396.861991
-0.447758,7,431.821456
-0.575921,7,431.825902
-0.528659,7,431.830265
-0.692713,7,431.838154
-0.499754,7,431.84588
-0.593887,7,431.853661
-0.62937,7,431.860695
-0.696494,7,431.865865
-0.503392,7,431.873704
-0.45886,7,431.881377
-0.49535,7,431.88956
-0.563513,7,431.895562
-0.569087,7,431.900156
-0.510009,7,431.904552
-0.556027,7,431.908919
-0.531522,7,431.914703
-0.499382,7,431.921887
-0.501379,7,431.929517
-0.616195,7,431.940203
-0.445457,7,431.947985
-0.459004,7,458.371035
-0.573107,7,458.378685
-0.581921,7,458.386433
-0.661829,7,458.394108
-0.488917,7,458.401683
-0.635116,7,458.409195
-0.518119,7,458.419201
-0.56668,7,458.427004
-0.464369,7,458.435653
-0.55592,7,458.443349
-0.451905,7,458.450584
-0.469784,7,458.454897
-0.571747,7,458.459175
-0.580273,7,458.463438
-0.539029,7,458.470041
-0.566986,7,458.477665
-0.6047,7,458.485555
-0.485382,7,458.493143
-0.460817,7,458.500762
-0.491561,7,458.508296
-0.567708,7,493.570256
-0.563596,7,493.577922
-0.544789,7,493.585696
-0.62246,7,493.593278
-0.669098,7,493.600995
-0.570341,7,493.608566
-0.537202,7,493.616136
-0.528072,7,493.623689
-0.514613,7,493.631464
-0.677044,7,493.639206
-0.50652,7,493.648683
-0.546731,7,493.653077
-0.594517,7,493.657329
-0.507179,7,493.6616
-0.586929,7,493.670154
-0.528659,7,493.677884
-0.563871,7,493.685821
-0.509578,7,493.693437
-0.640072,7,493.701084
-0.447748,7,493.708638
-0.611993,7,520.426058
-0.579484,7,520.434673
-0.511203,7,520.442365
-0.605813,7,520.45021
-0.53699,7,520.458046
-0.558727,7,520.466122
-0.590043,7,520.473751
-0.556292,7,520.481408
-0.492368,7,520.488997
-0.496114,7,520.496738
-0.431726,7,520.504318
-0.627327,7,520.511939
-0.543278,7,520.51948
-0.583409,7,520.527023
-0.557733,7,520.532556
-0.509951,7,520.536978
-0.510128,7,520.541353
-0.439898,7,520.547654
-0.517878,7,520.552132
-0.564704,7,520.556511
-0.663659,7,548.217607
-0.512317,7,548.222045
-0.657546,7,548.226892
-0.460931,7,548.231314
-0.573376,7,548.235697
-0.46776,7,548.240114
-0.554226,7,548.245036
-0.668397,7,548.252777
-0.590679,7,548.260578
-0.540002,7,548.268495
-0.587479,7,548.277903
-0.511683,7,548.282446
-0.568276,7,548.286924
-0.569734,7,548.291473
-0.538869,7,548.299479
-0.560902,7,548.307324
-0.588133,7,548.315213
-0.577048,7,548.322826
-0.645319,7,548.330457
-0.495574,7,548.338076
-0.485083,7,584.19296
-0.597671,7,584.199075
-0.538373,7,584.203557
-0.551452,7,584.210395
-0.541179,7,584.216143
-0.496612,7,584.22056
-0.616327,7,584.226071
-0.543507,7,584.234297
-0.533861,7,584.242114
-0.635327,7,584.250267
-0.469092,7,584.257959
-0.638116,7,584.26847
-0.436776,7,584.274272
-0.664638,7,584.281792
-0.691078,7,584.289521
-0.462503,7,584.29692
-0.48026,7,584.301449
-0.464185,7,584.30694
-0.57639,7,584.313941
-0.605749,7,584.320904
-0.619929,7,619.044782
-0.479344,7,619.049052
-0.513992,7,619.053276
-0.503039,7,619.060335
-0.607481,7,619.068146
-0.570429,7,619.076
-0.43796,7,619.083688
-0.537338,7,619.091351
-0.459963,7,619.096151
-0.49872,7,619.100506
-0.619663,7,619.105831
-0.549819,7,619.110238
-0.635912,7,619.114499
-0.554572,7,619.118703
-0.604428,7,619.122931
-0.545464,7,619.127803
-0.605026,7,619.132755
-0.527727,7,619.137703
-0.486198,7,619.142705
-0.597145,7,619.147662
-0.4699,7,655.020239
-0.502466,7,655.026839
-0.543689,7,655.031007
-0.610194,7,655.035149
-0.508759,7,655.042503
-0.574676,7,655.050379
-0.532361,7,655.058129
-0.649301,7,655.065713
-0.58915,7,655.07329
-0.494232,7,655.08092
-0.452839,7,655.088542
-0.532745,7,655.093473
-0.507532,7,655.098334
-0.495709,7,655.103115
-0.531778,7,655.109608
-0.492566,7,655.117126
-0.601804,7,655.124659
-0.629431,7,655.132123
-0.538118,7,655.141834
-0.465795,7,655.146729
-0.515777,7,682.80459
-0.485784,7,682.809881
-0.54034,7,682.815122
-0.570952,7,682.822661
-0.597407,7,682.82812
-0.574946,7,682.834522
-0.58463,7,682.843595
-0.488738,7,682.852097
-0.469523,7,682.8616
-0.479538,7,682.86997
-0.552644,7,682.878352
-0.601093,7,682.886591
-0.512189,7,682.892752
-0.571477,7,682.897348
-0.630696,7,682.901877
-0.477342,7,682.907092
-0.59561,7,682.912489
-0.517074,7,682.917965
-0.535463,7,682.92625
